Material,Thickness,Weight,Cost,Durability
steel  stainless 446,0.01000116941191051,0.04418181840329002,0.0063621234423634045,0.44780814999999996
titanium nitride (TiN) (hp  70-90 dens),0.010002692909388884,0.026893239000739363,0.00998059963616906,0.6200570699999997
silicon carbide (SiC) (rextal  65-70d),0.010065915957053403,0.011094142243741459,0.018133300582561084,0.72347249
zinc sulfide (ZnS) (cubic crystal),0.010081388438743235,0.02662553503351387,0.011204044054908735,0.9037671500000003
zinc sulfide (ZnS) (cubic crystal),0.010076400012786707,0.026264850085139377,0.011295374101989837,0.9037671500000003
thorium carbide (ThC2) (69 pc dense),0.010096586356103481,0.037904160893997195,0.009172104140122747,0.7020945000000003
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),0.010026135769932087,0.02273933513686694,0.0144018157056015,0.6433541400000002
yttrium,0.010087135337216953,0.027679218692102752,0.013338096773902715,0.9317498000000008
indium,0.010004789003654868,0.043626336730908995,0.00650569571125422,0.43507073999999973
steel  stainless 446,0.010005638930184175,0.04418181840329002,0.0063621234423634045,0.44780814999999996
rubidium (liquid),0.010000779518668169,0.009492832926264731,0.017133353388544065,0.5738118399999999
boron nitride (bn 97  bn2o3 2) (prs ax),0.010000295713250331,0.011535154540678515,0.017039248645305934,0.7653771499999996
zinc sulfide (ZnS) (cubic crystal),0.010000390295305639,0.02579585314480174,0.011390491373535126,0.9037671500000003
rubidium (liquid),0.010065398025141586,0.009379344681892806,0.0187541758588919,0.5731037799999998
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),0.010027563828382031,0.02273933513686694,0.0144018157056015,0.6433541400000002
thorium carbide (ThC2) (69 pc dense),0.010026000233021349,0.036784862974859805,0.009393719455480471,0.7020945000000003
tungsten oxide (Wo3) (polyxtal. porous),0.010029579295536425,0.042918618027802474,0.00821604425047695,0.4546651100000001
zinc sulfide (ZnS) (cubic crystal),0.010000396720059493,0.02579585314480174,0.011390491373535126,0.9037671500000003
lithium hydride (lih) (cast gas voids),0.010040320287503965,0.008072768939621017,0.01630242006310366,0.4731288999999995
magnesium aluminate (MgO.Al2O3) (100 d),0.01000048135030153,0.022559714458694837,0.015138758228932205,0.3801299100000001
silicon carbide (SiC) (rextal  65-70d),0.010038143059257485,0.01117703415719939,0.017751097460426357,0.72347249
yttrium boride (YB6) (98.4 pc dense),0.010077400017939876,0.024484831471814822,0.012140830972252452,0.9077305700000002
nickel alloy corrosist,0.010002906866484645,0.04521413947997682,0.006742300255474344,0.4481483200000003
rubidium (liquid),0.010057035584748004,0.009399987004398362,0.018016908400095004,0.5731037799999998
yttrium,0.010068714879904473,0.027614248007662007,0.013452627521213343,0.9317498000000008
titanium nitride (TiN) (hp  70-90 dens),0.010100618135327864,0.028117079738060883,0.009896176184478791,0.6200570699999997
yttrium,0.010001841798195108,0.026861343238164994,0.013695289151642915,0.9317498000000008
lithium hydride (lih) (cast gas voids),0.01000048135030153,0.008176441779010645,0.01577272854193993,0.4731288999999995
thorium carbide (ThC2) (69 pc dense),0.010409712022824473,0.04483972622492902,0.009105636847224196,0.7020945000000003
tungsten oxide (Wo3) (polyxtal. porous),0.010099857999973963,0.04517814145219662,0.008164896545036127,0.4546651100000001
yttrium boride (YB6) (98.4 pc dense),0.01000985506845738,0.024285860370673592,0.012317765850814299,0.9077305700000002
yttrium,0.01031564542242326,0.02989723187118436,0.012699636232729522,0.9317498000000008
yttrium,0.010068852656826721,0.027614248007662007,0.013452627521213343,0.9317498000000008
yttrium,0.010004189780966326,0.026861343238164994,0.013695289151642915,0.9317498000000008
niobium beryllide (Nb2Be17),0.010000036614279322,0.018284950484575076,0.015282245096114198,0.59219757
yttrium,0.010259733341999575,0.030013291893751966,0.012513071301428456,0.9317498000000008
yttrium,0.010176340406677458,0.02833204183196488,0.012786271129234132,0.9317498000000008
zinc sulfide (ZnS) (cubic crystal),0.010103568431512874,0.02680968500448758,0.010995587667015265,0.9037671500000003
magnesium aluminate (MgO.Al2O3) (xtal),0.01000005517884962,0.022559714458694837,0.015155487079716135,0.3854955200000002
tungsten oxide (Wo3) (polyxtal. porous),0.010102860328971003,0.04529866264086771,0.0080862626754616,0.4546651100000001
